2022-07-04 16:56:50,669: 'e'
2022-07-04 16:56:50,851: 'e'
2022-07-04 16:56:53,733: 'o'
2022-07-04 16:56:53,810: 'l'
2022-07-04 16:56:54,275: ['´']
2022-07-04 16:56:54,448: 'a'
2022-07-04 16:56:54,502: Key.space
2022-07-04 16:56:54,728: 'e'
2022-07-04 16:56:54,850: 'u'
2022-07-04 16:56:54,963: Key.space
2022-07-04 16:56:55,061: 's'
2022-07-04 16:56:55,131: 'o'
2022-07-04 16:56:55,209: 'u'
2022-07-04 16:56:55,305: Key.space
2022-07-04 16:56:55,414: 'o'
2022-07-04 16:56:55,484: Key.space
2022-07-04 16:56:55,676: Key.shift
2022-07-04 16:56:55,774: 'D'
2022-07-04 16:56:55,910: 'i'
2022-07-04 16:56:55,937: 'o'
2022-07-04 16:56:56,063: 'g'
2022-07-04 16:56:56,157: 'o'
2022-07-04 16:56:56,445: Key.shift_r
2022-07-04 16:56:56,508: '!'
2022-07-04 16:56:56,661: '!'
2022-07-04 16:56:56,776: Key.space
2022-07-04 16:56:58,668: 't'
2022-07-04 16:56:58,909: 'e'
2022-07-04 16:56:59,079: 's'
2022-07-04 16:56:59,184: 't'
2022-07-04 16:56:59,292: 'e'
2022-07-04 16:56:59,395: Key.space
2022-07-04 16:56:59,537: 't'
2022-07-04 16:56:59,657: 'e'
2022-07-04 16:56:59,821: 's'
2022-07-04 16:56:59,940: 't'
2022-07-04 16:57:00,018: Key.space
2022-07-04 16:57:00,176: Key.space
2022-07-04 16:57:00,339: Key.space
2022-07-04 16:57:01,258: Key.alt_l
2022-07-04 16:57:01,344: Key.tab
2022-07-04 16:57:01,781: Key.tab
2022-07-04 16:57:05,162: Key.enter
2022-07-04 16:57:17,163: 's'
2022-07-04 16:57:17,995: Key.alt_l
2022-07-04 16:57:18,088: Key.tab
2022-07-04 16:57:25,414: Key.alt_l
2022-07-04 16:57:25,463: Key.tab
2022-07-04 16:57:25,761: Key.alt_l
2022-07-04 16:57:29,523: 'c'
2022-07-04 16:57:29,648: 'o'
2022-07-04 16:57:29,831: 'c'
2022-07-04 16:57:29,929: 'o'
2022-07-04 16:57:30,159: Key.alt_l
2022-07-04 16:57:30,209: Key.tab
2022-07-04 16:57:31,474: Key.enter
